site,treatment,formica,present ,missing,warming.t,trial,formica.summed,p.surv,id
dorm marsh,warming,3,2,1,1.18,Trial 2,5,0.6666666667,110
dorm marsh,warming,3,0,3,1.18,Trial 2,5,0,111
dorm marsh,warming,3,0,3,1.18,Trial 2,5,0,112
dorm marsh,control,2,2,1,1.18,Trial 2,5,0.6666666667,113
dorm marsh,control,2,0,3,1.18,Trial 2,5,0,114
dorm marsh,control,2,3,0,1.18,Trial 2,5,1,115
dorm marsh,control,2,3,0,1.18,Trial 2,5,1,116
mussel pt,warming,10,2,1,-1.74,Trial 2,12,0.6666666667,117
mussel pt,warming,10,2,1,-1.74,Trial 2,12,0.6666666667,118
mussel pt,warming,10,0,3,-1.74,Trial 2,12,0,119
mussel pt,warming,10,0,3,-1.74,Trial 2,12,0,120
mussel pt,control,2,2,1,-1.74,Trial 2,12,0.6666666667,121
mussel pt,control,2,3,0,-1.74,Trial 2,12,1,122
mussel pt,control,2,1,2,-1.74,Trial 2,12,0.3333333333,123
mussel pt,control,2,1,2,-1.74,Trial 2,12,0.3333333333,124
artemisia,warming,0,2,1,6.766,Trial 2,5,0.6666666667,125
artemisia,warming,0,2,1,6.766,Trial 2,5,0.6666666667,126
artemisia,warming,0,3,0,6.766,Trial 2,5,1,127
artemisia,warming,0,3,0,6.766,Trial 2,5,1,128
artemisia,control,5,3,0,6.766,Trial 2,5,1,129
artemisia,control,5,3,0,6.766,Trial 2,5,1,130
artemisia,control,5,3,0,6.766,Trial 2,5,1,131
artemisia,control,5,3,0,6.766,Trial 2,5,1,132
john???s north dune,warming,0,2,1,0.122,Trial 2,6,0.6666666667,133
john???s north dune,warming,0,2,1,0.122,Trial 2,6,0.6666666667,134
john???s north dune,warming,0,2,1,0.122,Trial 2,6,0.6666666667,135
john???s north dune,warming,0,3,0,0.122,Trial 2,6,1,136
john???s north dune,control,6,3,0,0.122,Trial 2,6,1,137
john???s north dune,control,6,3,0,0.122,Trial 2,6,1,138
john???s north dune,control,6,3,0,0.122,Trial 2,6,1,139
john???s north dune,control,6,3,0,0.122,Trial 2,6,1,140
across from lab,warming,0,3,0,0.1,Trial 2,0,1,141
across from lab,warming,0,2,1,0.1,Trial 2,0,0.6666666667,142
across from lab,warming,0,2,1,0.1,Trial 2,0,0.6666666667,143
across from lab,warming,0,3,0,0.1,Trial 2,0,1,144
across from lab,control,0,2,1,0.1,Trial 2,0,0.6666666667,145
across from lab,control,0,3,0,0.1,Trial 2,0,1,146
across from lab,control,0,3,0,0.1,Trial 2,0,1,147
across from lab,control,0,1,2,0.1,Trial 2,0,0.3333333333,148
hemlock,warming,0,3,0,2.74,Trial 2,1,1,149
hemlock,warming,0,1,2,2.74,Trial 2,1,0.3333333333,150
hemlock,warming,0,2,1,2.74,Trial 2,1,0.6666666667,151
hemlock,control,1,2,1,2.74,Trial 2,1,0.6666666667,152
hemlock,control,1,3,0,2.74,Trial 2,1,1,153
